
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,DEN,NBA,SF,82,82,2995,624,1465,.426,69,214,.322,555,1251,.444,408,525,.777,183,315,498,227,97,41,247,225,1725
2004-05,20,DEN,NBA,SF,75,75,2608,530,1230,.431,42,158,.266,488,1072,.455,456,573,.796,141,285,426,194,68,30,224,229,1558
2005-06,21,DEN,NBA,SF,80,80,2941,756,1572,.481,37,152,.243,719,1420,.506,573,709,.808,122,272,394,216,88,42,218,229,2122
2006-07 ★,22,DEN,NBA,SF,65,65,2486,691,1453,.476,40,149,.268,651,1304,.499,459,568,.808,143,248,391,249,77,23,234,203,1881
2007-08 ★,23,DEN,NBA,SF,77,77,2806,728,1481,.492,58,164,.354,670,1317,.509,464,590,.786,178,393,571,259,98,39,253,253,1978
2008-09,24,DEN,NBA,SF,66,66,2277,535,1207,.443,63,170,.371,472,1037,.455,371,468,.793,106,344,450,222,75,24,199,195,1504
2009-10 ★,25,DEN,NBA,SF,69,69,2634,688,1502,.458,59,187,.316,629,1315,.478,508,612,.830,152,302,454,222,88,30,209,225,1943
2010-11 ★,26,TOT,NBA,SF,77,77,2751,684,1503,.455,95,251,.378,589,1252,.470,507,605,.838,118,445,563,221,68,46,206,224,1970
2010-11 ★,26,DEN,NBA,SF,50,50,1774,437,967,.452,42,126,.333,395,841,.470,343,417,.823,77,305,382,140,43,31,142,134,1259
2010-11 ★,26,NYK,NBA,SF,27,27,977,247,536,.461,53,125,.424,194,411,.472,164,188,.872,41,140,181,81,25,15,64,90,711
2011-12 ★,27,NYK,NBA,SF,55,55,1876,441,1025,.430,68,203,.335,373,822,.454,295,367,.804,88,256,344,200,62,24,144,156,1245
2012-13 ★,28,NYK,NBA,PF,67,67,2482,669,1489,.449,157,414,.379,512,1075,.476,425,512,.830,134,326,460,171,52,32,175,205,1920
2013-14 ★,29,NYK,NBA,PF,77,77,2982,743,1643,.452,167,415,.402,576,1228,.469,459,541,.848,145,477,622,242,95,51,198,224,2112
Career,,,NBA,,790,790,28838,7089,15570,.455,855,2477,.345,6234,13093,.476,4925,6070,.811,1510,3663,5173,2423,868,382,2307,2368,19958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DEN,NBA,,564,564,20521,4989,10877,.459,410,1320,.311,4579,9557,.479,3582,4462,.803,1102,2464,3566,1729,634,260,1726,1693,13970
4 seasons,,NYK,NBA,,226,226,8317,2100,4693,.447,445,1157,.385,1655,3536,.468,1343,1608,.835,408,1199,1607,694,234,122,581,675,5988
